[23:28:44] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[23:28:45] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[23:28:45] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:28:45] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:28:45] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[23:28:45] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:28:45] [main/INFO]: Reloading ResourceManager: Default
[23:28:45] [Worker-Main-13/INFO]: Loaded 7 recipes
[23:28:46] [Worker-Main-13/INFO]: Loaded 927 advancements
[23:28:47] [Server thread/INFO]: Starting minecraft server version 1.16.4
[23:28:47] [Server thread/INFO]: Loading properties
[23:28:47] [Server thread/INFO]: Default game type: SURVIVAL
[23:28:47] [Server thread/INFO]: Generating keypair
[23:28:48] [Server thread/INFO]: Starting Minecraft server on *:25565
[23:28:48] [Server thread/INFO]: Using default channel type
[23:28:51] [Server thread/INFO]: Preparing level "world"
[23:28:58] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[23:28:58] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:28:59] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[23:28:59] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:29:00] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[23:29:00] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:29:01] [Worker-Main-8/INFO]: Preparing spawn area: 2%
[23:29:01] [Worker-Main-10/INFO]: Preparing spawn area: 2%
[23:29:02] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[23:29:02] [Worker-Main-10/INFO]: Preparing spawn area: 7%
[23:29:03] [Worker-Main-10/INFO]: Preparing spawn area: 7%
[23:29:03] [Worker-Main-15/INFO]: Preparing spawn area: 7%
[23:29:04] [Worker-Main-10/INFO]: Preparing spawn area: 13%
[23:29:04] [Worker-Main-11/INFO]: Preparing spawn area: 16%
[23:29:05] [Worker-Main-9/INFO]: Preparing spawn area: 18%
[23:29:05] [Worker-Main-14/INFO]: Preparing spawn area: 22%
[23:29:06] [Worker-Main-11/INFO]: Preparing spawn area: 22%
[23:29:06] [Worker-Main-9/INFO]: Preparing spawn area: 22%
[23:29:07] [Worker-Main-10/INFO]: Preparing spawn area: 30%
[23:29:07] [Worker-Main-14/INFO]: Preparing spawn area: 30%
[23:29:08] [Worker-Main-8/INFO]: Preparing spawn area: 36%
[23:29:08] [Worker-Main-8/INFO]: Preparing spawn area: 40%
[23:29:09] [Worker-Main-14/INFO]: Preparing spawn area: 44%
[23:29:09] [Worker-Main-14/INFO]: Preparing spawn area: 48%
[23:29:10] [Worker-Main-14/INFO]: Preparing spawn area: 52%
[23:29:10] [Worker-Main-9/INFO]: Preparing spawn area: 56%
[23:29:11] [Worker-Main-8/INFO]: Preparing spawn area: 60%
[23:29:11] [Worker-Main-15/INFO]: Preparing spawn area: 64%
[23:29:12] [Worker-Main-12/INFO]: Preparing spawn area: 69%
[23:29:12] [Worker-Main-15/INFO]: Preparing spawn area: 72%
[23:29:13] [Worker-Main-15/INFO]: Preparing spawn area: 77%
[23:29:13] [Worker-Main-9/INFO]: Preparing spawn area: 82%
[23:29:14] [Worker-Main-12/INFO]: Preparing spawn area: 85%
[23:29:14] [Worker-Main-12/INFO]: Preparing spawn area: 88%
[23:29:15] [Worker-Main-12/INFO]: Preparing spawn area: 93%
[23:29:15] [Worker-Main-10/INFO]: Preparing spawn area: 99%
[23:29:15] [Server thread/INFO]: Time elapsed: 17136 ms
[23:29:15] [Server thread/INFO]: Done (23.823s)! For help, type "help"
